nr;Band;spelling;Word length;Verschil_Belgie_Nederland;Medium-Young;Medium-Old;Verschil_m_vr;n.obs;irt.prevalence;z.irt.prevalence;prevalence;z.prevalence;In_lijst1;In_lijst2;In-Lijst3;In_lijst4;Google_frequency;SUBTLEX_frequency;Log_Google_frequency;Log_SUBTLEX_frequency
1216;31;afzakking;9;-1,8;2,8;-0,4;3,3;358;0,947471984;1,620821006;0,927374302;1,316552031;W;W;W;W;3;;0,477121255;
1217;31;applaudisseren;14;-4,4;-5,1;-1,6;-1,1;314;0,945187829;1,599883896;0,923566879;1,295282105;W;W;W;W;1190;0,55;3,075546961;-0,259637311
1218;31;omhulling;9;-1,9;2,7;-2,7;-1,5;376;0,950867527;1,653323976;0,928191489;1,321195549;W;W;W;W;827;;2,91750551;
1219;31;warmhartig;10;3,4;-2,9;-4;-2,5;344;0,947070928;1,61709329;0,924418605;1,299989257;W;W;W;W;352;0,07;2,546542663;-1,15490196
1220;31;vlakker;7;-1,1;3,7;-4,4;-2,1;350;0,945254682;1,600486789;0,928571429;1,323364216;W;W;W;W;874;0,09;2,941511433;-1,045757491
1221;31;opstuwen;8;2,4;1,8;-4,9;5,5;337;0,943741919;1,586984471;0,919881306;1,275236575;W;W;W;W;373;;2,571708832;
1222;31;notatie;7;-3;2,4;2,1;5,9;319;0,949331608;1,638407176;0,931034483;1,337576643;W;W;W;W;1470;;3,167317335;
1223;31;hoogstand;9;-0,1;-3,1;-1,7;-6;357;0,946738335;1,614018886;0,927170868;1,315400463;W;W;W;W;270;;2,431363764;
1224;31;jaargetij;9;-0,7;-3;-5;-5,8;336;0,949857552;1,643474019;0,925595238;1,306539817;W;W;W;W;571;0,11;2,756636108;-0,958607315
1225;31;assenstelsel;12;0,5;2,8;5,2;6,1;352;0,948347214;1,62903518;0,928977273;1,325687644;W;W;W;W;366;;2,563481085;
1226;31;poederig;8;3,2;0,9;5,7;1,6;333;0,944569067;1,594331235;0,927927928;1,3196948;W;W;W;W;128;;2,10720997;
1227;31;lokduif;7;1,9;5,8;-4,1;-1,2;309;0,947280617;1,619039493;0,922330097;1,288497566;W;W;W;W;3;;0,477121255;
