nr;Band;spelling;randomisation;selection;Etymology;Word length;Verschil_Belgie_Nederland;Medium-Young;Medium-Old;Verschil_m_vr;n.obs;irt.prevalence;z.irt.prevalence;prevalence;z.prevalence;In_lijst1;In_lijst2;In-Lijst3;In_lijst4;Google_frequency;SUBTLEX_frequency;Log_Google_frequency;Log_SUBTLEX_frequency
261;7;missen;0,010523953;1;;6;-0,5;-0,6;-0,6;-0,4;355;0,997614732;2,822133161;0,994366197;1,875643672;W;W;W;W;19600;85,39;4,292256071;1,931407014
264;7;gast;0,140252498;1;;4;0,2;0,6;-0,8;0,4;331;0,997675125;2,830347352;0,993957704;1,870024883;W;W;W;W;13300;56,26;4,123851641;1,750199728
274;7;storen;0,221640266;1;;6;0,7;-0,8;0,1;-0,1;334;0,997655322;2,827632859;0,994011976;1,870767995;W;W;W;W;5300;22,04;3,72427587;1,34321159
242;7;bijspringen;0,266333336;1;;11;0;0;0;0;339;0,997864491;2,857418929;0,997050147;1,914120821;W;W;W;W;981;0,23;2,991669007;-0,638272164
270;7;trommelen;0,397260844;1;;9;0,6;-0,7;0,4;0;351;0,997620122;2,822858567;0,994301994;1,87475664;W;W;W;W;3320;0,48;3,521138084;-0,318758763
263;7;siroop;0,43298315;1;;6;0,6;0,6;-0,7;-0,7;354;0,997732217;2,838292028;0,994350282;1,875423656;W;W;W;W;1370;1,23;3,136720567;0,089905111
280;7;knagen;0,443703444;1;;6;0,4;-0,8;-0,8;-0,4;317;0,997949618;2,870304713;0,996845426;1,911084748;W;W;W;W;3020;1,3;3,480006943;0,113943352
252;7;genieten;0,470158979;1;;8;-0,4;0;0;-0,4;305;0,997769105;2,843522215;0,996721311;1,909252643;W;W;W;W;25200;30,51;4,401400541;1,484442208
248;7;tas;0,574268754;1;;3;0;0;0;0;289;0,997822975;2,851302621;0,993079585;1,858142443;W;W;W;W;20600;58,36;4,31386722;1,766115283
255;7;overhandigen;0,600347253;1;;12;0;0;0;0;333;0,997701922;2,834054053;0,993993994;1,870521664;W;W;W;W;3520;3,66;3,546542663;0,563481085
265;7;portret;0,605978377;1;;7;0,3;0,6;-0,8;-0,5;332;0,997904163;2,863365057;0,993975904;1,870273964;W;W;W;W;27600;5,37;4,440909082;0,729974286
273;7;behoedzaam;0,673973094;1;;10;0,7;-0,7;0,2;0;342;0,99777447;2,844289353;0,994152047;1,87269068;W;W;W;W;6410;0,57;3,80685803;-0,244125144
247;7;krab;0,716862697;1;;4;-0,1;-0,7;-0,7;0;339;0,997899939;2,862727111;0,997050147;1,914120821;W;W;W;W;2950;3,86;3,469822016;0,586587305
257;7;handbagage;0,75056387;1;;10;-0,6;0;0;0,4;321;0,997667495;2,829298996;0,99376947;1,867455495;W;W;W;W;1430;0,37;3,155336037;-0,431798276
